comparison;n;shapiro_W;shapiro_p;normal_at_0.05
VSUP - ScaledGlyph;3;0.9593066057254558;0.6120696269032295;True
VSUP - IsoGlyph;3;0.9970401935206189;0.896044491576043;True
ScaledGlyph - IsoGlyph;3;0.8048099670066376;0.12603377984847752;True
