comparison;n;shapiro_W;shapiro_p;normal_at_0.05
VSUP - ScaledGlyph;3;0.8524414943261528;0.2470015276064622;True
VSUP - IsoGlyph;3;0.8443327893362765;0.22540950773945467;True
ScaledGlyph - IsoGlyph;3;0.9554375741204306;0.5937762009135443;True
