comparison;n;shapiro_W;shapiro_p;normal_at_0.05
VSUP - ScaledGlyph;12;0.8878339529037476;0.11050442606210709;True
VSUP - IsoGlyph;12;0.8116611242294312;0.012752875685691833;False
ScaledGlyph - IsoGlyph;12;0.6998440027236938;0.0008397188503295183;False
