visualization;n_choices;mean_chosen_uncertainty;median_chosen_uncertainty;mean_deviation_from_target;median_deviation_from_target;mean_confidence;median_confidence;mean_duration_ms;median_duration_ms;safest_region_rate;n_safest_evaluable
IsoGlyph;3;1.7319748712;1.424277884;11.410349572613333;11.05134908984;5.666666666666667;6.0;48932.666666666664;43866.0;0.3333333333333333;3
ScaledGlyph;3;3.19965337;3.080212368;6.806759380933333;7.99693754;5.0;5.0;48860.333333333336;49140.0;0.0;3
VSUP;3;3.3336140466666664;3.135608284;6.682401515306666;8.09617172;5.333333333333333;5.0;52000.666666666664;55819.0;0.0;3
