visualization;n_trials;n_answered;mean_abs_error;median_abs_error;mean_normalized_abs_error;median_normalized_abs_error;mean_duration_ms;median_duration_ms;answer_rate;n_exact;n_exact_evaluable;exact_rate;exact_display
IsoGlyph;12;12;61.034171782080875;2.9156035e-05;0.08239977473556627;0.007600373555636614;19619.666666666668;18659.5;1.0;6;12;0.5;6/12
ScaledGlyph;12;12;43.08666874049305;9.072836104800001e-06;0.036994495004598386;0.022827536805788938;19335.833333333332;13000.5;1.0;3;12;0.25;3/12
VSUP;12;12;62.624167869804744;3.878080000000005e-06;0.028824681826754697;0.022581074528975488;17168.666666666668;14420.0;1.0;4;12;0.3333333333333333;4/12
