visualization;region;n;proportion_within_method
IsoGlyph;R1;3;0.25
IsoGlyph;R2;3;0.25
IsoGlyph;R3;2;0.16666666666666666
IsoGlyph;R4;2;0.16666666666666666
IsoGlyph;R5;2;0.16666666666666666
ScaledGlyph;R1;3;0.25
ScaledGlyph;R2;3;0.25
ScaledGlyph;R3;2;0.16666666666666666
ScaledGlyph;R4;2;0.16666666666666666
ScaledGlyph;R5;2;0.16666666666666666
VSUP;R1;3;0.25
VSUP;R2;3;0.25
VSUP;R3;2;0.16666666666666666
VSUP;R4;2;0.16666666666666666
VSUP;R5;2;0.16666666666666666
