visualization;n_choices;mean_chosen_uncertainty;median_chosen_uncertainty;mean_deviation_from_target;median_deviation_from_target;mean_confidence;median_confidence;mean_duration_ms;median_duration_ms;safest_region_rate;n_safest_evaluable
IsoGlyph;12;2.740021715333333;2.3277910432;9.02097757346;11.05134908984;3.1666666666666665;3.0;11979.916666666666;10490.0;0.16666666666666666;12
ScaledGlyph;12;2.6406242357333336;2.3014594902;9.0039630947;11.0990278568;3.1666666666666665;3.0;14700.75;14061.5;0.16666666666666666;12
VSUP;12;2.738450218866667;2.3172442822;8.864565324079999;10.76092652592;3.1666666666666665;3.0;16776.583333333332;14823.0;0.16666666666666666;12
