comparison;n;shapiro_W;shapiro_p;normal_at_0.05
VSUP - ScaledGlyph;3;0.895746327430321;0.37208703351277883;True
VSUP - IsoGlyph;3;0.9845884296421946;0.7622904067926575;True
ScaledGlyph - IsoGlyph;3;0.921825918354703;0.458796295981336;True
