latitude,longitude,mean_temperature,uncertainty_std
-88.57216851400727,0.0,-37.883686,1.202153
-88.57216851400727,1.875,-37.874332,1.2213849
-88.57216851400727,3.75,-37.864155,1.2287208
-88.57216851400727,5.625,-37.814743,1.2578564
-88.57216851400727,7.5,-37.77326,1.278599
-88.57216851400727,9.375,-37.72726,1.2857547
-88.57216851400727,11.25,-37.701363,1.3006063
-88.57216851400727,13.125,-37.65343,1.3238056
-88.57216851400727,15.0,-37.596363,1.326164
-88.57216851400727,16.875,-37.530914,1.3443114
-88.57216851400727,18.75,-37.462337,1.3513998
-88.57216851400727,20.625,-37.375248,1.3997674
-88.57216851400727,22.5,-37.299076,1.4175254
-88.57216851400727,24.375,-37.251637,1.4187684
-88.57216851400727,26.25,-37.15318,1.458396
-88.57216851400727,28.125,-37.081264,1.4867872
-88.57216851400727,30.0,-37.006325,1.5141159
-88.57216851400727,31.875,-36.915913,1.5427831
-88.57216851400727,33.75,-36.844604,1.5573584
-88.57216851400727,35.625,-36.767906,1.5473485
-88.57216851400727,37.5,-36.709118,1.5834209
-88.57216851400727,39.375,-36.59888,1.6110942
-88.57216851400727,41.25,-36.53345,1.6165923
-88.57216851400727,43.125,-36.46056,1.6238272
-88.57216851400727,45.0,-36.372593,1.6105543
-88.57216851400727,46.875,-36.30648,1.6591202
-88.57216851400727,48.75,-36.24099,1.6335328
-88.57216851400727,50.625,-36.140778,1.6724846
-88.57216851400727,52.5,-36.08187,1.6603129
-88.57216851400727,54.375,-36.022377,1.6480784
-88.57216851400727,56.25,-35.972515,1.6803102
-88.57216851400727,58.125,-35.8766,1.6756493
-88.57216851400727,60.0,-35.820503,1.7311896
-88.57216851400727,61.875,-35.77992,1.7450254
-88.57216851400727,63.75,-35.711185,1.7632589
-88.57216851400727,65.625,-35.6981,1.7833798
-88.57216851400727,67.5,-35.621128,1.7568702
-88.57216851400727,69.375,-35.56798,1.758624
-88.57216851400727,71.25,-35.502495,1.7581906
-88.57216851400727,73.125,-35.47552,1.7822471
-88.57216851400727,75.0,-35.44185,1.772758
-88.57216851400727,76.875,-35.422085,1.7781597
-88.57216851400727,78.75,-35.394154,1.7784997
-88.57216851400727,80.625,-35.359997,1.7776197
-88.57216851400727,82.5,-35.365288,1.7741174
-88.57216851400727,84.375,-35.32144,1.8010727
-88.57216851400727,86.25,-35.337536,1.8006923
-88.57216851400727,88.125,-35.313843,1.817578
-88.57216851400727,90.0,-35.310463,1.8104845
-88.57216851400727,91.875,-35.291187,1.8240037
-88.57216851400727,93.75,-35.29656,1.8579082
-88.57216851400727,95.625,-35.26683,1.8707489
-88.57216851400727,97.5,-35.255993,1.872437
-88.57216851400727,99.375,-35.24681,1.893398
-88.57216851400727,101.25,-35.244625,1.8830119
-88.57216851400727,103.125,-35.235794,1.9018086
-88.57216851400727,105.0,-35.23394,1.9245267
-88.57216851400727,106.875,-35.230247,1.9301735
-88.57216851400727,108.75,-35.205463,1.9463596
-88.57216851400727,110.625,-35.21652,1.9458529
-88.57216851400727,112.5,-35.21861,1.9745493
-88.57216851400727,114.375,-35.219215,1.9739355
-88.57216851400727,116.25,-35.240425,1.9757831
-88.57216851400727,118.125,-35.264294,2.0146952
-88.57216851400727,120.0,-35.260696,2.009341
-88.57216851400727,121.875,-35.266735,2.0159616
-88.57216851400727,123.75,-35.280228,2.016684
-88.57216851400727,125.625,-35.28718,2.0208588
-88.57216851400727,127.5,-35.298607,2.0333548
-88.57216851400727,129.375,-35.3064,2.035584
-88.57216851400727,131.25,-35.328354,2.0353813
-88.57216851400727,133.125,-35.34685,2.040685
-88.57216851400727,135.0,-35.37191,2.0506487
-88.57216851400727,136.875,-35.386852,2.0725136
-88.57216851400727,138.75,-35.408726,2.0675702
-88.57216851400727,140.625,-35.41607,2.0682948
-88.57216851400727,142.5,-35.459213,2.0815167
-88.57216851400727,144.375,-35.49306,2.0919816
-88.57216851400727,146.25,-35.52558,2.10195
-88.57216851400727,148.125,-35.55355,2.1066034
-88.57216851400727,150.0,-35.596127,2.0883398
-88.57216851400727,151.875,-35.64896,2.0996363
-88.57216851400727,153.75,-35.69898,2.100499
-88.57216851400727,155.625,-35.763294,2.0789707
-88.57216851400727,157.5,-35.833588,2.08842
-88.57216851400727,159.375,-35.89568,2.0999813
-88.57216851400727,161.25,-35.959896,2.095681
-88.57216851400727,163.125,-36.03937,2.095964
-88.57216851400727,165.0,-36.09806,2.0936697
-88.57216851400727,166.875,-36.16357,2.0830889
-88.57216851400727,168.75,-36.254505,2.0822382
-88.57216851400727,170.625,-36.347397,2.0690427
-88.57216851400727,172.5,-36.430912,2.058358
-88.57216851400727,174.375,-36.50855,2.0401933
-88.57216851400727,176.25,-36.592632,2.0276725
-88.57216851400727,178.125,-36.669937,2.0384014
-88.57216851400727,180.0,-36.77324,2.0145216
-88.57216851400727,181.875,-36.855736,1.9731529
-88.57216851400727,183.75,-36.957924,1.9707074
-88.57216851400727,185.625,-37.033745,1.9466963
-88.57216851400727,187.5,-37.12976,1.9020494
-88.57216851400727,189.375,-37.202553,1.8767366
-88.57216851400727,191.25,-37.27347,1.8632692
-88.57216851400727,193.125,-37.350033,1.8089474
-88.57216851400727,195.0,-37.41943,1.7675012
-88.57216851400727,196.875,-37.48398,1.745498
-88.57216851400727,198.75,-37.55263,1.7350249
-88.57216851400727,200.625,-37.59187,1.7027967
-88.57216851400727,202.5,-37.649662,1.6746459
-88.57216851400727,204.375,-37.684643,1.6402935
-88.57216851400727,206.25,-37.726967,1.635094
-88.57216851400727,208.125,-37.76849,1.5888507
-88.57216851400727,210.0,-37.811127,1.587378
-88.57216851400727,211.875,-37.85814,1.5576938
-88.57216851400727,213.75,-37.872925,1.5342602
