latitude,longitude,mean_temperature,uncertainty_std
-88.57216851400727,208.125,-37.500862,1.960383
-88.57216851400727,210.0,-37.53047,1.9392592
-88.57216851400727,211.875,-37.568382,1.9299626
-88.57216851400727,213.75,-37.57711,1.9196583
-88.57216851400727,215.625,-37.61221,1.906544
-88.57216851400727,217.5,-37.63762,1.8926606
-88.57216851400727,219.375,-37.65807,1.8954054
-88.57216851400727,221.25,-37.688244,1.8707442
-88.57216851400727,223.125,-37.709923,1.8627787
-88.57216851400727,225.0,-37.7393,1.8591719
-88.57216851400727,226.875,-37.757153,1.8524653
-88.57216851400727,228.75,-37.763245,1.8437197
-88.57216851400727,230.625,-37.77801,1.8333179
-88.57216851400727,232.5,-37.802814,1.8283718
-88.57216851400727,234.375,-37.808792,1.8165976
-88.57216851400727,236.25,-37.81842,1.8106906
-88.57216851400727,238.125,-37.834145,1.8078703
-88.57216851400727,240.0,-37.828224,1.7942148
-88.57216851400727,241.875,-37.836994,1.7886021
-88.57216851400727,243.75,-37.831974,1.7743965
-88.57216851400727,245.625,-37.826546,1.7615174
-88.57216851400727,247.5,-37.819496,1.7587116
-88.57216851400727,249.375,-37.806507,1.7503566
-88.57216851400727,251.25,-37.7934,1.7387364
-88.57216851400727,253.125,-37.777386,1.733507
-88.57216851400727,255.0,-37.753616,1.7249823
-88.57216851400727,256.875,-37.751938,1.7080793
-88.57216851400727,258.75,-37.719826,1.7188079
-88.57216851400727,260.625,-37.701935,1.7146893
-88.57216851400727,262.5,-37.679417,1.7030108
-88.57216851400727,264.375,-37.664925,1.6901991
-88.57216851400727,266.25,-37.61889,1.689979
-88.57216851400727,268.125,-37.592678,1.6881577
-88.57216851400727,270.0,-37.560375,1.6750044
-88.57216851400727,271.875,-37.541176,1.672341
-88.57216851400727,273.75,-37.514084,1.6686251
-88.57216851400727,275.625,-37.489143,1.6561469
-88.57216851400727,277.5,-37.452015,1.660434
-88.57216851400727,279.375,-37.424847,1.6709481
-88.57216851400727,281.25,-37.406662,1.6559632
-88.57216851400727,283.125,-37.38797,1.6578115
-88.57216851400727,285.0,-37.35729,1.6579646
-88.57216851400727,286.875,-37.33258,1.6620367
-88.57216851400727,288.75,-37.312737,1.6571819
-88.57216851400727,290.625,-37.306137,1.6539611
-88.57216851400727,292.5,-37.2825,1.6572834
-88.57216851400727,294.375,-37.272797,1.6574192
-88.57216851400727,296.25,-37.26129,1.6574147
-88.57216851400727,298.125,-37.25184,1.6596733
-88.57216851400727,300.0,-37.243713,1.6591802
-88.57216851400727,301.875,-37.243168,1.6605251
-88.57216851400727,303.75,-37.242912,1.6631905
-88.57216851400727,305.625,-37.25227,1.6607732
-88.57216851400727,307.5,-37.261505,1.6636547
-88.57216851400727,309.375,-37.271564,1.6713096
-88.57216851400727,311.25,-37.28803,1.6702639
-88.57216851400727,313.125,-37.30973,1.6702781
-88.57216851400727,315.0,-37.3327,1.671884
-88.57216851400727,316.875,-37.35588,1.6748922
-88.57216851400727,318.75,-37.38346,1.6810586
-88.57216851400727,320.625,-37.415607,1.6781639
-88.57216851400727,322.5,-37.444786,1.682149
-88.57216851400727,324.375,-37.48008,1.6790667
-88.57216851400727,326.25,-37.516056,1.6843085
-88.57216851400727,328.125,-37.55436,1.6783824
-88.57216851400727,330.0,-37.59582,1.6740881
-88.57216851400727,331.875,-37.636135,1.6801249
-88.57216851400727,333.75,-37.666622,1.6828209
-88.57216851400727,335.625,-37.707813,1.6821738
-88.57216851400727,337.5,-37.73973,1.6786429
-88.57216851400727,339.375,-37.77207,1.6761016
-88.57216851400727,341.25,-37.808968,1.6693699
-88.57216851400727,343.125,-37.845783,1.6684407
-88.57216851400727,345.0,-37.8792,1.66685
-88.57216851400727,346.875,-37.903595,1.6749415
-88.57216851400727,348.75,-37.942875,1.671228
-88.57216851400727,350.625,-37.95889,1.6680579
-88.57216851400727,352.5,-37.982677,1.669046
-88.57216851400727,354.375,-37.98848,1.6620637
-88.57216851400727,356.25,-37.99559,1.6649897
-88.57216851400727,358.125,-38.009357,1.6721296
-86.72253095466814,0.0,-35.436623,2.599515
-86.72253095466814,1.875,-35.504143,2.616429
-86.72253095466814,3.75,-35.563263,2.6290245
-86.72253095466814,5.625,-35.628166,2.6667283
-86.72253095466814,7.5,-35.682816,2.643947
-86.72253095466814,9.375,-35.727856,2.6813726
-86.72253095466814,11.25,-35.794163,2.686925
-86.72253095466814,13.125,-35.850803,2.6803255
-86.72253095466814,15.0,-35.878067,2.6594229
-86.72253095466814,16.875,-35.910294,2.6504235
-86.72253095466814,18.75,-35.97293,2.6684666
-86.72253095466814,20.625,-36.012367,2.646237
-86.72253095466814,22.5,-36.107872,2.6417165
-86.72253095466814,24.375,-36.150528,2.63936
-86.72253095466814,26.25,-36.168262,2.6720278
-86.72253095466814,28.125,-36.235744,2.673685
-86.72253095466814,30.0,-36.33106,2.6337194
-86.72253095466814,31.875,-36.421154,2.6153789
-86.72253095466814,33.75,-36.51668,2.627852
-86.72253095466814,35.625,-36.62543,2.5820262
-86.72253095466814,37.5,-36.71727,2.582622
-86.72253095466814,39.375,-36.81104,2.551529
-86.72253095466814,41.25,-36.93502,2.5552328
-86.72253095466814,43.125,-37.03557,2.5459235
-86.72253095466814,45.0,-37.154007,2.5229564
-86.72253095466814,46.875,-37.285004,2.5095387
-86.72253095466814,48.75,-37.39221,2.4992738
-86.72253095466814,50.625,-37.468636,2.5385332
-86.72253095466814,52.5,-37.58643,2.5072448
-86.72253095466814,54.375,-37.667755,2.488682
-86.72253095466814,56.25,-37.744614,2.4602551
-86.72253095466814,58.125,-37.86266,2.4576375
-86.72253095466814,60.0,-37.996567,2.4429507
-86.72253095466814,61.875,-38.059574,2.3997772
-86.72253095466814,63.75,-38.12789,2.3675973
-86.72253095466814,65.625,-38.186153,2.366681
-86.72253095466814,67.5,-38.176586,2.3953197
-86.72253095466814,69.375,-38.251682,2.3496141
-86.72253095466814,71.25,-38.29524,2.3119926
-86.72253095466814,73.125,-38.345375,2.3119342
-86.72253095466814,75.0,-38.361565,2.3012688
-86.72253095466814,76.875,-38.38182,2.2919261
-86.72253095466814,78.75,-38.427658,2.2678933
-86.72253095466814,80.625,-38.430687,2.271963
-86.72253095466814,82.5,-38.47713,2.268546
-86.72253095466814,84.375,-38.525177,2.275471
-86.72253095466814,86.25,-38.54932,2.2776213
-86.72253095466814,88.125,-38.617874,2.2686162
-86.72253095466814,90.0,-38.671955,2.269012
-86.72253095466814,91.875,-38.73096,2.251666
-86.72253095466814,93.75,-38.793262,2.2363715
-86.72253095466814,95.625,-38.89053,2.2233534
-86.72253095466814,97.5,-38.967815,2.2304645
-86.72253095466814,99.375,-39.06682,2.1876855
-86.72253095466814,101.25,-39.179222,2.1790473
-86.72253095466814,103.125,-39.266937,2.1350083
-86.72253095466814,105.0,-39.388695,2.1306553
-86.72253095466814,106.875,-39.484592,2.1053462
-86.72253095466814,108.75,-39.589806,2.0869672
-86.72253095466814,110.625,-39.706993,2.0636866
-86.72253095466814,112.5,-39.767776,2.0406053
-86.72253095466814,114.375,-39.81594,2.0232058
-86.72253095466814,116.25,-39.79891,1.994511
-86.72253095466814,118.125,-39.843224,1.9796208
-86.72253095466814,120.0,-39.805042,1.9637617
-86.72253095466814,121.875,-39.758205,1.9654912
-86.72253095466814,123.75,-39.66918,1.9357497
-86.72253095466814,125.625,-39.572014,1.9168626
-86.72253095466814,127.5,-39.445354,1.8463404
-86.72253095466814,129.375,-39.27924,1.8220094
-86.72253095466814,131.25,-39.075706,1.8339235
-86.72253095466814,133.125,-38.850765,1.8544632
-86.72253095466814,135.0,-38.599377,1.8418715
-86.72253095466814,136.875,-38.30053,1.8276421
-86.72253095466814,138.75,-37.981876,1.7965639
-86.72253095466814,140.625,-37.68897,1.7891135
-86.72253095466814,142.5,-37.348244,1.7863646
-86.72253095466814,144.375,-36.96252,1.76441
-86.72253095466814,146.25,-36.53516,1.7302731
-86.72253095466814,148.125,-36.12678,1.714307
-86.72253095466814,150.0,-35.693733,1.7176671
-86.72253095466814,151.875,-35.27725,1.6924144
-86.72253095466814,153.75,-34.77795,1.7149338
-86.72253095466814,155.625,-34.306114,1.718577
-86.72253095466814,157.5,-33.784943,1.7004466
-86.72253095466814,159.375,-33.29504,1.6874613
-86.72253095466814,161.25,-32.79385,1.7109299
-86.72253095466814,163.125,-32.296272,1.68326
-86.72253095466814,165.0,-31.816328,1.6864363
-86.72253095466814,166.875,-31.344511,1.6810524
-86.72253095466814,168.75,-30.880487,1.6733752
-86.72253095466814,170.625,-30.395996,1.707876
-86.72253095466814,172.5,-29.93662,1.7094908
-86.72253095466814,174.375,-29.520058,1.7002219
-86.72253095466814,176.25,-29.0892,1.7209835
-86.72253095466814,178.125,-28.686407,1.699953
-86.72253095466814,180.0,-28.311426,1.707532
-86.72253095466814,181.875,-27.962246,1.7206606
-86.72253095466814,183.75,-27.626484,1.7249962
-86.72253095466814,185.625,-27.289375,1.7328604
-86.72253095466814,187.5,-26.988047,1.7328818
-86.72253095466814,189.375,-26.737774,1.7411052
-86.72253095466814,191.25,-26.509493,1.7515796
-86.72253095466814,193.125,-26.293673,1.7475872
-86.72253095466814,195.0,-26.110508,1.7526612
-86.72253095466814,196.875,-25.951641,1.7572674
-86.72253095466814,198.75,-25.837831,1.7622269
-86.72253095466814,200.625,-25.748457,1.7646939
-86.72253095466814,202.5,-25.687695,1.761448
-86.72253095466814,204.375,-25.65627,1.7646855
-86.72253095466814,206.25,-25.638456,1.769186
-86.72253095466814,208.125,-25.650566,1.7707872
-86.72253095466814,210.0,-25.702831,1.7777689
-86.72253095466814,211.875,-25.768417,1.7671459
-86.72253095466814,213.75,-25.869707,1.7596374
-86.72253095466814,215.625,-25.993711,1.7594415
-86.72253095466814,217.5,-26.138866,1.7523806
-86.72253095466814,219.375,-26.29547,1.7632688
-86.72253095466814,221.25,-26.478008,1.7624332
-86.72253095466814,223.125,-26.667831,1.7588303
-86.72253095466814,225.0,-26.868202,1.7713597
-86.72253095466814,226.875,-27.087637,1.7787656
-86.72253095466814,228.75,-27.342989,1.7784934
-86.72253095466814,230.625,-27.595625,1.7954764
-86.72253095466814,232.5,-27.831778,1.7988385
-86.72253095466814,234.375,-28.088554,1.8041341
-86.72253095466814,236.25,-28.350567,1.7959846
-86.72253095466814,238.125,-28.623163,1.8024454
-86.72253095466814,240.0,-28.865118,1.814445
-86.72253095466814,241.875,-29.110352,1.8237288
-86.72253095466814,243.75,-29.341894,1.8318634
-86.72253095466814,245.625,-29.559277,1.8213828
-86.72253095466814,247.5,-29.77711,1.8123976
-86.72253095466814,249.375,-29.96131,1.7991943
-86.72253095466814,251.25,-30.106192,1.8132339
-86.72253095466814,253.125,-30.236269,1.8010283
-86.72253095466814,255.0,-30.347988,1.8038633
-86.72253095466814,256.875,-30.429628,1.7917389
-86.72253095466814,258.75,-30.477774,1.7883215
-86.72253095466814,260.625,-30.483555,1.7963634
-86.72253095466814,262.5,-30.499493,1.8093514
-86.72253095466814,264.375,-30.463789,1.819407
-86.72253095466814,266.25,-30.41754,1.8244506
-86.72253095466814,268.125,-30.345781,1.8280675
-86.72253095466814,270.0,-30.252558,1.8374513
-86.72253095466814,271.875,-30.149765,1.8476263
-86.72253095466814,273.75,-30.066484,1.850532
-86.72253095466814,275.625,-29.957207,1.8548496
-86.72253095466814,277.5,-29.826347,1.8772765
-86.72253095466814,279.375,-29.715958,1.8807148
-86.72253095466814,281.25,-29.610977,1.8972436
-86.72253095466814,283.125,-29.49666,1.9171298
-86.72253095466814,285.0,-29.396835,1.9268146
-86.72253095466814,286.875,-29.295078,1.9262716
-86.72253095466814,288.75,-29.229239,1.9328648
-86.72253095466814,290.625,-29.15375,1.9514178
-86.72253095466814,292.5,-29.095312,1.9569252
-86.72253095466814,294.375,-29.053282,1.9663439
-86.72253095466814,296.25,-29.04213,1.9713333
