latitude,longitude,mean_air_pressure,uncertainty_std
-88.57216851400727,225.0,99757.32,357.13248
-88.57216851400727,226.875,99767.18,356.47998
-88.57216851400727,228.75,99776.62,355.81635
-88.57216851400727,230.625,99787.14,355.177
-88.57216851400727,232.5,99796.33,354.53613
-88.57216851400727,234.375,99806.98,353.9005
-88.57216851400727,236.25,99816.7,353.26666
-88.57216851400727,238.125,99825.64,352.64493
-88.57216851400727,240.0,99835.28,352.02542
-88.57216851400727,241.875,99844.44,351.42807
-88.57216851400727,243.75,99853.28,350.83566
-88.57216851400727,245.625,99861.87,350.2664
-88.57216851400727,247.5,99870.27,349.70462
-88.57216851400727,249.375,99877.23,349.16364
-88.57216851400727,251.25,99885.34,348.63596
-88.57216851400727,253.125,99891.98,348.13095
-88.57216851400727,255.0,99899.66,347.65073
-88.57216851400727,256.875,99905.66,347.17758
-88.57216851400727,258.75,99912.48,346.75223
-88.57216851400727,260.625,99917.3,346.32947
-88.57216851400727,262.5,99922.54,345.92578
-88.57216851400727,264.375,99927.94,345.57123
-88.57216851400727,266.25,99931.92,345.22467
-88.57216851400727,268.125,99936.8,344.91977
-88.57216851400727,270.0,99939.62,344.62885
-88.57216851400727,271.875,99943.97,344.36456
-88.57216851400727,273.75,99946.88,344.14148
-88.57216851400727,275.625,99949.26,343.93573
-88.57216851400727,277.5,99950.76,343.74893
-88.57216851400727,279.375,99953.58,343.59402
-88.57216851400727,281.25,99954.77,343.47433
-88.57216851400727,283.125,99955.22,343.37683
-88.57216851400727,285.0,99957.21,343.30313
-88.57216851400727,286.875,99957.76,343.25314
-88.57216851400727,288.75,99957.88,343.22708
-88.57216851400727,290.625,99957.23,343.21887
-88.57216851400727,292.5,99958.18,343.23492
-88.57216851400727,294.375,99957.83,343.26794
-88.57216851400727,296.25,99957.3,343.3311
-88.57216851400727,298.125,99956.4,343.41376
-88.57216851400727,300.0,99956.26,343.50616
-88.57216851400727,301.875,99954.18,343.61908
-88.57216851400727,303.75,99953.98,343.7479
-88.57216851400727,305.625,99953.0,343.89865
-88.57216851400727,307.5,99951.24,344.05084
-88.57216851400727,309.375,99951.33,344.22583
-88.57216851400727,311.25,99949.38,344.39548
-88.57216851400727,313.125,99948.1,344.58997
-88.57216851400727,315.0,99947.6,344.79343
-88.57216851400727,316.875,99945.37,345.00745
-88.57216851400727,318.75,99944.2,345.2191
